scenario,seed,strategy,detection_probability,false_alarm_probability,interception_ratio,average_intercept_delay,average_reward,coverage
periodic,1,Sequential,0.8823529411764706,0.060240963855421686,0.3065326633165829,23.770491803278688,0.1,1.0
periodic,1,Random,1.0,0.07407407407407407,0.3869346733668342,25.142857142857142,0.13,1.0
periodic,1,Adaptive,0.9333333333333333,0.07058823529411765,0.1708542713567839,12.235294117647058,0.08,1.0
periodic,1,Smart Adaptive,0.9444444444444444,0.06097560975609756,0.2814070351758794,19.107142857142858,0.12,1.0
periodic,2,Sequential,0.9444444444444444,0.07317073170731707,0.23076923076923078,16.916666666666668,0.11,1.0
periodic,2,Random,0.92,0.09333333333333334,0.42788461538461536,21.719101123595507,0.16,1.0
periodic,2,Adaptive,0.9655172413793104,0.08450704225352113,0.1346153846153846,21.142857142857142,0.22,1.0
periodic,2,Smart Adaptive,0.9565217391304348,0.07792207792207792,0.2644230769230769,17.29090909090909,0.16,1.0
periodic,3,Sequential,0.9090909090909091,0.0641025641025641,0.39622641509433965,24.30952380952381,0.15,1.0
periodic,3,Random,0.9090909090909091,0.056179775280898875,0.22641509433962265,26.333333333333332,0.05,1.0
periodic,3,Adaptive,0.9696969696969697,0.07462686567164178,0.15566037735849056,18.454545454545453,0.27,1.0
periodic,3,Smart Adaptive,1.0,0.04938271604938271,0.2028301886792453,17.441860465116278,0.15,1.0
periodic,4,Sequential,0.9565217391304348,0.07792207792207792,0.4594594594594595,20.735294117647058,0.16,1.0
periodic,4,Random,1.0,0.07954545454545454,0.32882882882882886,34.19178082191781,0.05,1.0
periodic,4,Adaptive,1.0,0.07407407407407407,0.18468468468468469,16.146341463414632,0.13,1.0
periodic,4,Smart Adaptive,1.0,0.07228915662650602,0.35135135135135137,25.166666666666668,0.11,1.0
periodic,5,Sequential,0.9130434782608695,0.07792207792207792,0.36018957345971564,17.44736842105263,0.15,1.0
periodic,5,Random,1.0,0.04878048780487805,0.3222748815165877,19.852941176470587,0.14,1.0
periodic,5,Adaptive,0.9642857142857143,0.06944444444444445,0.0995260663507109,8.095238095238095,0.22,1.0
periodic,5,Smart Adaptive,0.9473684210526315,0.07407407407407407,0.23696682464454977,21.96,0.12,1.0
periodic,6,Sequential,0.9444444444444444,0.07317073170731707,0.2857142857142857,16.571428571428573,0.11,1.0
periodic,6,Random,0.9523809523809523,0.08860759493670886,0.4336734693877551,24.4,0.13,1.0
periodic,6,Adaptive,0.9655172413793104,0.07042253521126761,0.0663265306122449,2.6923076923076925,0.23,1.0
periodic,6,Smart Adaptive,0.9444444444444444,0.08536585365853659,0.21428571428571427,31.38095238095238,0.1,1.0
periodic,7,Sequential,0.9375,0.07142857142857142,0.23148148148148148,13.34,0.09,1.0
periodic,7,Random,0.9411764705882353,0.07228915662650602,0.2916666666666667,22.49206349206349,0.1,0.95
periodic,7,Adaptive,1.0,0.06944444444444445,0.05092592592592592,2.8181818181818183,0.23,1.0
periodic,7,Smart Adaptive,1.0,0.07317073170731707,0.20833333333333334,22.6,0.12,1.0
periodic,8,Sequential,0.9473684210526315,0.06172839506172839,0.3768844221105528,24.906666666666666,0.13,1.0
periodic,8,Random,1.0,0.07058823529411765,0.39195979899497485,30.41025641025641,0.09,1.0
periodic,8,Adaptive,0.9629629629629629,0.0684931506849315,0.06532663316582915,4.923076923076923,0.21,1.0
periodic,8,Smart Adaptive,0.9090909090909091,0.07692307692307693,0.36683417085427134,23.136986301369863,0.14,1.0
periodic,9,Sequential,0.9047619047619048,0.0759493670886076,0.36507936507936506,22.26086956521739,0.13,1.0
periodic,9,Random,1.0,0.08235294117647059,0.3492063492063492,25.151515151515152,0.08,1.0
periodic,9,Adaptive,1.0,0.05555555555555555,0.21164021164021163,22.725,0.24,1.0
periodic,9,Smart Adaptive,1.0,0.06097560975609756,0.31746031746031744,25.416666666666668,0.13,1.0
periodic,10,Sequential,0.9444444444444444,0.07317073170731707,0.31336405529953915,17.470588235294116,0.11,1.0
periodic,10,Random,0.8461538461538461,0.06896551724137931,0.2626728110599078,27.403508771929825,0.05,1.0
periodic,10,Adaptive,0.9375,0.07352941176470588,0.11059907834101383,6.583333333333333,0.25,1.0
periodic,10,Smart Adaptive,0.9047619047619048,0.0759493670886076,0.2764976958525346,21.166666666666668,0.13,1.0
periodic,11,Sequential,0.8823529411764706,0.07228915662650602,0.24757281553398058,14.901960784313726,0.09,1.0
periodic,11,Random,1.0,0.07407407407407407,0.4174757281553398,22.91860465116279,0.13,0.95
periodic,11,Adaptive,0.96,0.08,0.14563106796116504,9.666666666666666,0.18,1.0
periodic,11,Smart Adaptive,0.9444444444444444,0.07317073170731707,0.33495145631067963,26.681159420289855,0.11,1.0
